open_time,close,volume,trades
2026-08-13 08:00:00,63484.3,355.63538,73629
2026-08-13 09:00:00,63697.76,384.47294,78708
2026-08-13 10:00:00,63724.0,561.86509,150420
2026-08-13 11:00:00,63859.45,669.38212,148001
2026-08-13 12:00:00,63420.01,505.15868,147692
2026-08-13 13:00:00,63160.13,1752.37181,270783
2026-08-13 14:00:00,63144.38,644.48394,166027
2026-08-13 15:00:00,63310.0,325.89181,93018
2026-08-13 16:00:00,63407.99,349.14796,100752
2026-08-13 17:00:00,63415.55,239.68311,51169
2026-08-13 18:00:00,63474.0,188.33344,48570
2026-08-13 19:00:00,63530.01,226.97651,60979
2026-08-13 20:00:00,63490.86,397.80966,46382
2026-08-13 21:00:00,63541.45,377.80366,79129
2026-08-13 22:00:00,63575.86,310.91391,78725
2026-08-13 23:00:00,63465.39,489.39475,60097
2026-08-14 00:00:00,63310.0,296.84163,55239
2026-08-14 01:00:00,63372.56,530.66039,47353
2026-08-14 02:00:00,63379.83,201.71573,53728
2026-08-14 03:00:00,62974.14,627.73261,105882
2026-08-14 04:00:00,62920.78,730.23378,71713
2026-08-14 05:00:00,62940.01,892.48443,120107
2026-08-14 06:00:00,62792.75,501.14919,68087
2026-08-14 07:00:00,62814.14,598.55074,77325
2026-08-14 08:00:00,62868.83,444.92265,70192
2026-08-14 09:00:00,62741.69,486.51649,95960
2026-08-14 10:00:00,62668.0,987.78817,199983
2026-08-14 11:00:00,62620.01,998.23888,209562
2026-08-14 12:00:00,62990.95,988.09918,168891
2026-08-14 13:00:00,63133.48,566.22185,123968
2026-08-14 14:00:00,63013.69,454.05828,112128
2026-08-14 15:00:00,62930.01,367.77038,98207
2026-08-14 16:00:00,62968.05,394.98545,92795
2026-08-14 17:00:00,62907.59,359.43765,50731
2026-08-14 18:00:00,62928.49,179.646,44956
2026-08-14 19:00:00,62886.88,226.57205,48343
2026-08-14 20:00:00,63043.56,329.09114,51429
2026-08-14 21:00:00,63019.88,208.64233,32855
2026-08-14 22:00:00,63045.13,485.23532,24028
2026-08-14 23:00:00,63134.41,243.54429,27897
2026-08-15 00:00:00,63051.25,184.46775,25606
2026-08-15 01:00:00,63122.0,172.30243,15288
2026-08-15 02:00:00,63089.0,213.28052,18478
2026-08-15 03:00:00,63114.68,373.75318,23100
2026-08-15 04:00:00,63075.43,688.73174,36468
2026-08-15 05:00:00,62935.72,177.99645,20855
2026-08-15 06:00:00,63030.38,183.99371,22230
2026-08-15 07:00:00,63046.1,79.58111,15132
2026-08-15 08:00:00,63022.01,175.71191,17915
2026-08-15 09:00:00,63050.13,109.73402,18296
2026-08-15 10:00:00,63060.35,132.2968,27293
2026-08-15 11:00:00,63040.0,244.03751,18588
