open_time,actual_range,predicted_range,baseline_range,model_error,baseline_error,hour_of_day,date,model_wins
2026-07-19 14:00:00-03:00,0.004253338133085709,0.002890223309686833,0.005355715898249719,0.001363114823398876,0.0011023777651640101,14,2026-07-19,0
2026-07-19 15:00:00-03:00,0.0017967012800294327,0.0041822466657334195,0.004253338133085709,0.0023855453857039867,0.002456636853056276,15,2026-07-19,1
2026-07-19 16:00:00-03:00,0.0015097002463276739,0.00344330694638043,0.0017967012800294327,0.001933606700052756,0.0002870010337017589,16,2026-07-19,0
2026-07-19 17:00:00-03:00,0.00329965885672375,0.0027985329162503038,0.0015097002463276739,0.0005011259404734464,0.0017899586103960763,17,2026-07-19,1
2026-07-19 18:00:00-03:00,0.008536726975182101,0.0031624513260899803,0.00329965885672375,0.005374275649092122,0.005237068118458352,18,2026-07-19,0
2026-07-19 19:00:00-03:00,0.0030901135833049814,0.006420484683741426,0.008536726975182101,0.0033303711004364447,0.0054466133918771205,19,2026-07-19,1
2026-07-19 20:00:00-03:00,0.010719579191570912,0.0036797861049963515,0.0030901135833049814,0.007039793086574561,0.007629465608265931,20,2026-07-19,1
2026-07-19 21:00:00-03:00,0.008098655675766613,0.006486099359597119,0.010719579191570912,0.0016125563161694936,0.0026209235158042993,21,2026-07-19,1
2026-07-19 22:00:00-03:00,0.00584631142483402,0.008199251597523218,0.008098655675766613,0.0023529401726891976,0.0022523442509325923,22,2026-07-19,0
2026-07-19 23:00:00-03:00,0.004176365581518645,0.00661831807301409,0.00584631142483402,0.002441952491495445,0.001669945843315375,23,2026-07-19,0
2026-07-20 00:00:00-03:00,0.005112952415098757,0.004709595278770265,0.004176365581518645,0.0004033571363284919,0.0009365868335801117,0,2026-07-20,1
2026-07-20 01:00:00-03:00,0.0074741142714571315,0.004431032763226155,0.005112952415098757,0.003043081508230977,0.0023611618563583745,1,2026-07-20,0
2026-07-20 02:00:00-03:00,0.007105512408245664,0.006804974773060173,0.0074741142714571315,0.00030053763518549104,0.00036860186321146723,2,2026-07-20,1
2026-07-20 03:00:00-03:00,0.006533290831784238,0.005368605162802598,0.007105512408245664,0.0011646856689816396,0.0005722215764614267,3,2026-07-20,0
2026-07-20 04:00:00-03:00,0.019609682999169868,0.00451846420216222,0.006533290831784238,0.015091218797007647,0.01307639216738563,4,2026-07-20,0
2026-07-20 05:00:00-03:00,0.00409972040280683,0.007210571301556107,0.019609682999169868,0.0031108508987492773,0.015509962596363037,5,2026-07-20,1
2026-07-20 06:00:00-03:00,0.003941140738008202,0.00473065363771632,0.00409972040280683,0.0007895128997081179,0.00015857966479862744,6,2026-07-20,0
2026-07-20 07:00:00-03:00,0.012225314263358905,0.0051741465198281095,0.003941140738008202,0.007051167743530796,0.008284173525350703,7,2026-07-20,1
2026-07-20 08:00:00-03:00,0.006233601485148551,0.007113114763635829,0.012225314263358905,0.0008795132784872785,0.005991712778210354,8,2026-07-20,1
2026-07-20 09:00:00-03:00,0.008635924307484073,0.007246229259776044,0.006233601485148551,0.0013896950477080283,0.002402322822335522,9,2026-07-20,1
2026-07-20 10:00:00-03:00,0.007724942914036441,0.006663649918262989,0.008635924307484073,0.0010612929957734525,0.0009109813934476312,10,2026-07-20,0
